,hotel_star,hotel_address,reviews_count,quality
216,4,5ruedu8mai194510tharr75010parisfrance,"3,742 reviews",Good 
217,4,15ruedelagrandechaumire6tharr75006parisfrance,304 reviews,Excellent 
218,4,14ruestanislas6tharr75006parisfrance,421 reviews,Excellent 
219,4,2rueedouardvii9tharr75009parisfrance,419 reviews,Excellent 
220,4,2ruedemontholon9tharr75009parisfrance,809 reviews,Wonderful 
221,4,23ruebuffault9tharr75009parisfrance,239 reviews,Good 
222,4,25ruebuffault9tharr75009parisfrance,730 reviews,Good 
223,4,151bisruederennes6tharr75006parisfrance,"1,143 reviews",Very Good 
224,4,10ruelamartine9tharr75009parisfrance,372 reviews,Very Good 
225,4,7ruedespetitshtels10tharr75010parisfrance,710 reviews,Very Good 
226,4,5ruedecaumartin9tharr75008parisfrance,591 reviews,Excellent 
227,4,7ruemayran9tharr75009parisfrance,662 reviews,Wonderful 
228,4,6rueblaisedesgoffe6tharr75006parisfrance,"1,203 reviews",Excellent 
229,4,207boulevardraspail14tharr75014parisfrance,405 reviews,Very Good 
230,4,88ruedufaubourgpoissonire10tharr75010parisfrance,649 reviews,Very Good 
231,4,14rueduchevalierdesaintgeorge1starr75001parisfrance,602 reviews,Wonderful 
232,4,12ruedemaubeuge9tharr75009parisfrance,179 reviews,Excellent 
233,4,92rueducherchemidi6tharr75006parisfrance,773 reviews,Very Good 
234,4,52ruejenner13tharr75013parisfrance,609 reviews,Good 
235,4,17ruedecaumartin9tharr75009parisfrance,265 reviews,Fair 
236,4,9ruelittr6tharr75006parisfrance,"1,154 reviews",Excellent 
237,4,19ruedecaumartin9tharr75009parisfrance,312 reviews,Very Good 
238,4,225boulevardraspail14tharr75014parisfrance,722 reviews,Very Good 
239,4,ruedecharonne11tharr75011parisfrance,34 reviews,Good 
240,4,16ruedesze9tharr75009parisfrance,620 reviews,Excellent 
241,4,11bisruegodotdemauroy9tharr75009parisfrance,793 reviews,Excellent 
242,4,30aruedalsace10tharr75010parisfrance,"1,815 reviews",Very Good 
243,4,35ruecaumartin9tharr75009parisfrance,"2,705 reviews",Very Good 
244,4,23ruegodotdemauroy9tharr75009parisfrance,"1,114 reviews",Wonderful 
245,4,232boulevardraspail14tharr75014parisfrance,"1,043 reviews",Excellent 
246,4,3ruedebourgogne7tharr75007parisfrance,352 reviews,Excellent 
247,4,43ruedecaumartin9tharr75009parisfrance,646 reviews,Good 
248,4,2ruedesdeuxgares10tharr75010parisfrance,487 reviews,Very Good 
249,4,75ruedelavictoire9tharr75009parisfrance,663 reviews,Very Good 
250,4,35ruedubanquier13tharr75013parisfrance,317 reviews,Wonderful 
251,4,73ruetaitbout9tharr75009parisfrance,"1,414 reviews",Wonderful 
253,4,44ruedebourgogne7tharr75007parisfrance,532 reviews,Very Good 
254,4,10ruedelatourdauvergne9tharr75009parisfrance,286 reviews,Very Good 
255,4,33placedelamadeleine8tharr75008parisfrance,747 reviews,Very Good 
256,4,22ruetronchet8tharr75008parisfrance,82 reviews,Very Good 
257,4,6474boulevarddebelleville11tharr75020parisfrance,"1,212 reviews",Very Good 
258,4,36ruedesaintquentin10tharr75010parisfrance,"1,307 reviews",Very Good 
259,4,19ruetronchet8tharr75008parisfrance,705 reviews,Very Good 
260,4,13ruederocroy10tharr75010parisfrance,324 reviews,Good 
261,4,160ruelafayette10tharr75010parisfrance,"1,335 reviews",Excellent 
262,4,12boulevarddedenain10tharr75010parisfrance,"2,093 reviews",Very Good 
263,4,30ruejoubert9tharr75009parisfrance,511 reviews,Good 
264,4,6ruechauveaulagarde8tharr75008parisfrance,902 reviews,Very Good 
265,4,168ruedufaubourgsaintdenis10tharr75010parisfrance,643 reviews,Good 
266,4,8ruelaferriere9tharr75009parisfrance,558 reviews,Very Good 
267,4,3rueclauzel9tharr75009parisfrance,"1,079 reviews",Very Good 
268,4,11ruedelarcade8tharr75008parisfrance,"1,151 reviews",Very Good 
270,4,38ruedufaubourgsainthonore8tharr75008parisfrance,"3,614 reviews",Good 
271,4,17ruedelarcade8tharr75008parisfrance,"1,540 reviews",Very Good 
272,4,6boulevardvincentauriol13tharr75013parisfrance,"1,545 reviews",Very Good 
273,4,15rueedouardmanet13tharr75013parisfrance,"1,053 reviews",Excellent 
274,4,28ruededunkerque10tharr75010parisfrance,672 reviews,Very Good 
275,4,7ruedenavarin9tharr75009parisfrance,787 reviews,Very Good 
276,4,29ruedelarcade8tharr75008parisfrance,"1,229 reviews",Very Good 
277,4,43ruedesmathurins8tharr75008parisfrance,"1,314 reviews",Very Good 
278,4,20ruedelagat14tharr75014parisfrance,928 reviews,Very Good 
279,4,8bisavenuedelasoeurrosalie13tharr75013parisfrance,592 reviews,Excellent 
280,4,4ruedelisly8tharr75008parisfrance,927 reviews,Very Good 
281,4,20bisruedelagat14tharr75014parisfrance,"1,160 reviews",Very Good 
282,4,4rueamsterdam9tharr75009parisfrance,"1,146 reviews",Good 
283,4,108ruesaintlazare8tharr75008parisfrance,375 reviews,Good 
284,4,31ruedesurene8tharr75008parisfrance,911 reviews,Excellent 
