,hotel_star,hotel_address,reviews_count,quality
151,4,6264lowersloanestreetkensingtonandchelsealondonsw1w8bpunitedkingdom,"1,716 reviews",Excellent 
152,4,culfordgardenskensingtonandchelsealondonsw32sxunitedkingdom,2 reviews,Good 
154,4,146gloucesterplacewestminsterboroughlondonnw16dtunitedkingdom,"1,707 reviews",Good 
155,4,173gloucesterplacewestminsterboroughlondonnw16dxunitedkingdom,"4,121 reviews",Pleasant 
156,4,60pentonvilleroadislingtonlondonn19launitedkingdom,"3,748 reviews",Good 
157,4,7gracechurchstreetcityoflondonlondonec3v0drunitedkingdom,"3,079 reviews",Good 
158,4,3lovatlanecityoflondonlondonec3r8dtunitedkingdom,130 reviews,Very Good 
159,4,30sussexgardenpaddingtonwestminsterboroughlondonw21ulunitedkingdom,728 reviews,Good 
160,4,1electricboulevardnineelmswandsworthlondonsw118bjunitedkingdom,,
161,4,152oldsouthlambethroadlambethlondonsw81xxunitedkingdom,973 reviews,Good 
162,4,nellgwynnhousesloaneavenuechelseakensingtonandchelsealondonsw33axunitedkingdom,348 reviews,Very Good 
163,4,westminsterboroughlondonw21pxunitedkingdom,17 reviews,Wonderful 
164,4,2527southwickstreetwestminsterboroughlondonw21jqunitedkingdom,"3,578 reviews",Very Good 
165,4,5morelondonplacetooleystreetsouthwarklondonse12byunitedkingdom,"2,471 reviews",Excellent 
166,4,225edgwareroadwestminsterboroughlondonw21juunitedkingdom,"1,410 reviews",Good 
167,4,201211longlanesouthwarklondonse14pnunitedkingdom,886 reviews,Very Good 
168,4,11thurloeplaceknightsbridgekensingtonandchelsealondonsw72rsunitedkingdom,"1,670 reviews",Very Good 
169,4,354queenstownroadwandsworthlondonsw84aeunitedkingdom,"2,583 reviews",Very Good 
170,4,34norfolkplacepaddingtonwestminsterboroughlondonw21qwunitedkingdom,"4,713 reviews",Good 
171,4,2macclesfieldroadislingtonlondonec1v8dgunitedkingdom,"2,767 reviews",Wonderful 
172,4,36greatsthelenscityoflondonlondonec3a6apunitedkingdom,"1,710 reviews",Good 
173,4,89plenderstreetcamdenlondonnw10jnunitedkingdom,,
174,4,1317norfolksquarewestminsterboroughlondonw21ruunitedkingdom,9 reviews,Good 
175,4,35ixworthplacekensingtonandchelsealondonsw33qxunitedkingdom,"1,524 reviews",Good 
